Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Jul-26,,11089.0,10652.0,0.04020596,0.02175094,0.02188189,0.41805292,11120.0,10667.0,0.04159043,,0.02177292,0.41597106,0.02188189,0.41805292
27-Jul-26,HCLTECH,1295.8,,0.01932427,0.01851417,0.01851819,0.35378949,1298.3,1274.4,0.01858024,,0.01812797,0.34633445,0.01851819,0.35378949
27-Jul-26,KFINTECH,949.25,,0.10135952,0.02459183,0.02555592,0.48824513,948.9,,0.10163216,0.02551304,0.02644449,0.50522121,,0.50522121
,ULTRACEMCO,,11846.0,0.00295023,0.0150297,0.01499347,0.2864498,11862.0,11831.0,0.00261681,,0.01473342,0.28148154,0.01499347,0.2864498
27-Jul-26,  SENSEX50  ,25154.71,24915.18,0.0095679,0.00878805,0.00879213,0.16797343,25167.25,,0.00907061,0.00879871,0.00880024,0.16812841,0.00880024,0.16812841
27-Jul-26,,3718.1,3689.7,0.00766763,0.02063696,0.02059234,0.39341615,3715.4,3690.2,0.00680569,0.02102204,0.02097503,0.40072741,0.02097503,
27-Jul-26,  OIL  ,442.0,449.85,,0.02214848,,0.42275846,441.85,450.85,-0.02016423,0.02207325,0.02206415,0.42153504,0.02212819,0.42275846
27-Jul-26,,2741.3,2701.9,,0.02543475,0.0253918,0.48510957,2752.8,2707.9,0.01644515,,0.02568954,0.49079805,0.02568954,0.49079805
  27-Jul-26  ,LTF,312.2,302.4,0.03189336,0.02192163,0.02198279,0.41998065,311.85,302.1,0.03176421,0.0218352,0.02189614,,,0.41998065
27-Jul-26,ABB,7327.5,7375.5,-0.0065293,0.02037617,0.02033045,0.38841271,7331.5,7380.5,-0.00666125,0.02043948,0.0203937,0.3896211,0.0203937,0.3896211
27-Jul-26,  ANGELONE  ,304.2,307.95,-0.01225205,0.02811283,0.02805582,0.53600565,305.5,,-0.00960998,0.02818106,0.02811869,,0.02811869,0.53720688
,  VOLTAS  ,1319.3,1327.3,-0.00604551,0.02054032,0.02049325,0.39152297,1321.2,1328.6,-0.00558534,0.02056334,0.02051565,0.39195087,0.02051565,0.39195087
